ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_12,Pre,3,Trial     5,Arena 4,4:14,27.2,0.414,7.61613,1,360,0,7.61613,1,360,0,NA,NA,NA,NA
GS_Pred_NM_16,Pre,1,Trial     5,Arena 4,3:20,26.8,0.275,19.146,1,30,1,19.146,1,30,1,NA,NA,NA,NA
GS_Pred_NM_8,Pre,2,Trial     7,Arena 4,4:16,26.9,0.332,20.5999,1,360,0,20.5999,1,360,0,NA,NA,NA,NA
GS_Pred_NM_5,Pre,2,Trial     5,Arena 2,3:21,26.6,0.259,25.2007,2,8,1,25.2007,2,8,1,NA,NA,NA,NA
GS_Pred_NM_12,Pre,2,Trial     4,Arena 1,2:55,26.5,0.388,25.8611,2,360,0,25.8611,2,360,0,NA,NA,NA,NA
GS_Pred_NM_23,Pre,1,Trial    10,Arena 3,11:14,25.9,0.449,28.3206,1,360,0,28.3206,1,360,0,NA,NA,NA,NA
GS_Pred_NM_35,Pre,1,Trial     6,Arena 3,3:47,26.9,0.266,28.7517,3,4,1,28.7517,3,4,1,NA,NA,NA,NA
GS_Pred_NM_15,Pre,3,Trial     4,Arena 1,3:52,27.2,0.388,29.631,1,105,1,29.631,1,105,1,NA,NA,NA,NA
GS_Pred_NM_17,Pre,2,Trial     8,Arena 2,4:40,27,0.335,29.7111,1,2,1,29.7111,1,2,1,NA,NA,NA,NA
GS_Pred_NM_35,Pre,2,Trial     1,Arena 1,12:12,26.1,0.367,32.1264,1,360,0,32.1264,1,360,0,NA,NA,NA,NA
GS_Pred_NM_37,Pre,1,Trial     3,Arena 1,2:20,26.1,0.3,33.8234,2,1,1,33.8234,2,1,1,NA,NA,NA,NA
GS_Pred_NM_38,Pre,3,Trial     3,Arena 3,3:24,26.8,0.354,35.5889,2,263,1,35.5889,2,263,1,NA,NA,NA,NA
GS_Pred_NM_8,Pre,3,Trial     7,Arena 1,3:03,27.2,0.248,36.1046,1,275,1,36.1046,1,275,1,NA,NA,NA,NA
GS_Pred_NM_18,Pre,1,Trial     4,Arena 4,2:55,26.4,0.356,38.1234,3,311,1,38.1234,3,311,1,NA,NA,NA,NA
